course,prof,gpa,% of A,% of B,section_,semester
ANTH 205,HOPKINS A,3.488,60%,28%,101,2019 Summer
ANTH 205,THAKAR H,3.333,47%,40%,201,2019 Summer
ANTH 324,DEL CIAMPO M,3.428,50%,43%,100,2019 Summer
FILM 356,FRANCIS J,3.800,80%,20%,200,2019 Summer
WGST 374,AHN H,3.800,80%,20%,100,2019 Summer
COMM 203,ADAMS T,3.818,82%,18%,100,2019 Summer
COMM 203,YAVARI M,3.454,50%,45%,101,2019 Summer
COMM 203,COLGLAZIER K,2.888,28%,56%,102,2019 Summer
COMM 203,EVERETT B,3.166,25%,67%,103,2019 Summer
COMM 203,SHELDON Z,3.583,67%,25%,104,2019 Summer
COMM 203,YORK F,3.333,33%,67%,105,2019 Summer
COMM 203,BRADLEY N,3.760,84%,12%,106,2019 Summer
COMM 203,CHABOKI DARZABI R,3.409,45%,50%,107,2019 Summer
COMM 203,RAMIREZ A,3.555,56%,44%,108,2019 Summer
COMM 203,WILLIAMS C,3.272,45%,41%,109,2019 Summer
COMM 203,ADAMS T,3.952,95%,5%,110,2019 Summer
COMM 203,ANDERSON C,3.368,47%,42%,201,2019 Summer
COMM 203,ROWE S,3.187,19%,81%,202,2019 Summer
COMM 203,EVERETT B,3.500,50%,50%,203,2019 Summer
COMM 203,WINFIELD A,2.650,20%,50%,204,2019 Summer
COMM 203,COLGLAZIER K,3.058,35%,47%,205,2019 Summer
COMM 203,YAVARI M,3.090,27%,59%,206,2019 Summer
COMM 203,YORK F,3.333,48%,38%,207,2019 Summer
COMM 203,BRADLEY N,3.750,80%,15%,208,2019 Summer
COMM 203,NADKARNI A,3.647,71%,24%,209,2019 Summer
COMM 203,SHELDON Z,3.476,52%,43%,210,2019 Summer
COMM 205,TARVIN D,3.208,33%,54%,100,2019 Summer
COMM 230,LOPEZ J,4.000,100%,0%,100,2019 Summer
COMM 289,CRICK N,3.625,62%,38%,150,2019 Summer
COMM 315,ASCHENBECK S,3.330,56%,29%,199,2019 Summer
COMM 315,ROWE S,3.279,50%,34%,299,2019 Summer
COMM 320,TACHKOVA E,3.405,49%,43%,299,2019 Summer
COMM 325,WESNER K,3.406,64%,23%,199,2019 Summer
COMM 335,TARVIN D,3.175,38%,46%,199,2019 Summer
COMM 335,MILLER L,3.264,38%,53%,299,2019 Summer
COMM 340,ANDERSON C,3.049,44%,32%,199,2019 Summer
COMM 437,ROLD M,3.458,50%,46%,900,2019 Summer
COMM 440,CRICK N,3.647,65%,35%,900,2019 Summer
COMM 450,PARISH N,3.954,95%,5%,900,2019 Summer
ECON 202,LI S,3.107,52%,23%,100,2019 Summer
ECON 203,GUO X,3.840,84%,16%,200,2019 Summer
ECON 323,MCNAMARA T,2.671,22%,33%,100,2019 Summer
ECON 410,RHOLES R,2.714,20%,43%,200,2019 Summer
ECON 440,PRIDAY B,3.767,77%,23%,200,2019 Summer
ECON 459,BESTENBOSTEL A,3.000,31%,48%,100,2019 Summer
ENGL 210,PETERSON N,3.772,86%,9%,191,2019 Summer
ENGL 210,CHUNG S,3.400,60%,30%,192,2019 Summer
ENGL 210,ROGERS J,3.809,95%,0%,193,2019 Summer
ENGL 210,HAGSTROM-SCHMIDT N,3.772,77%,23%,194,2019 Summer
ENGL 210,ZHANG Z,4.000,100%,0%,195,2019 Summer
ENGL 210,ADANU E,3.736,79%,16%,281,2019 Summer
ENGL 210,KIM H,3.454,50%,45%,282,2019 Summer
ENGL 210,PRICE C,3.761,81%,14%,283,2019 Summer
ENGL 210,YI U,3.789,79%,21%,284,2019 Summer
ENGL 210,CARLY-MILES C,3.400,50%,40%,291,2019 Summer
ENGL 210,MCKINNEY M,3.800,80%,20%,292,2019 Summer
ENGL 210,NEIGHBORS R,3.636,82%,9%,599,2019 Summer
ENGL 305,ROZIER J,3.655,76%,14%,100,2019 Summer
ENGL 317,TODD D,3.400,57%,30%,200,2019 Summer
ENGL 330,BACA M,3.560,72%,20%,100,2019 Summer
ENGL 331,COOPER R,2.840,44%,12%,200,2019 Summer
ENGL 334,VASILAKIS A,3.454,64%,24%,100,2019 Summer
ENGL 356,FRANCIS J,3.270,43%,49%,200,2019 Summer
