course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,CARLSON D,3.826,91%,0%,200,2017 Fall
ANTH 201,ALVARD M,2.666,19%,46%,501,2017 Fall
ANTH 201,DOZIER C,3.051,53%,22%,502,2017 Fall
ANTH 201,BRYANT V,2.815,18%,52%,599,2017 Fall
ANTH 202,THOMS A,2.273,5%,37%,501,2017 Fall
ANTH 204,GRAF K,2.424,11%,44%,500,2017 Fall
ANTH 205,VIEIRA DE CASTRO L,3.467,57%,35%,501,2017 Fall
ANTH 205,LYNCH D,2.666,27%,40%,502,2017 Fall
ANTH 205,LYNCH D,3.318,53%,31%,503,2017 Fall
ANTH 205,WINKING J,3.178,43%,36%,504,2017 Fall
ANTH 205,KENNEDY C,3.241,45%,37%,505,2017 Fall
ANTH 205,SMITH M,3.686,78%,16%,506,2017 Fall
ANTH 205,PAREDES SALCEDO R,3.698,75%,19%,507,2017 Fall
ANTH 205,BORD A,3.471,62%,30%,508,2017 Fall
ANTH 205,PERROTTI A,3.858,88%,11%,509,2017 Fall
ANTH 205,BRYANT V,2.445,15%,37%,599,2017 Fall
ANTH 210,CASTOR N,2.467,13%,43%,501,2017 Fall
ANTH 210,WINKING J,2.689,17%,52%,502,2017 Fall
ANTH 225,DE RUITER D,2.358,17%,25%,500,2017 Fall
ANTH 226,HODGES S,3.500,58%,33%,501,2017 Fall
ANTH 226,HODGES S,3.230,54%,15%,504,2017 Fall
ANTH 300,LYNCH D,3.388,56%,33%,500,2017 Fall
ANTH 305,LINDERHOLM A,2.882,29%,47%,900,2017 Fall
ANTH 313,HAMILTON D,2.733,20%,43%,500,2017 Fall
ANTH 324,BUSTOS I,3.875,88%,12%,500,2017 Fall
ANTH 324,BUSTOS I,3.769,81%,15%,501,2017 Fall
ANTH 324,BUSTOS I,3.811,87%,9%,502,2017 Fall
ANTH 330,GRAF K,3.937,94%,6%,500,2017 Fall
ANTH 370,LAPORTE C,3.640,80%,12%,901,2017 Fall
ANTH 370,LAPORTE C,3.500,75%,8%,902,2017 Fall
ANTH 370,LAPORTE C,3.640,68%,28%,903,2017 Fall
ANTH 370,LAPORTE C,3.600,88%,8%,904,2017 Fall
ANTH 370,LAPORTE C,3.291,58%,25%,905,2017 Fall
ANTH 370,LAPORTE C,3.560,68%,24%,906,2017 Fall
ANTH 370,LAPORTE C,3.320,64%,20%,907,2017 Fall
ANTH 370,LAPORTE C,3.640,88%,4%,908,2017 Fall
ANTH 370,LAPORTE C,3.720,84%,12%,909,2017 Fall
ANTH 370,LAPORTE C,3.480,56%,36%,910,2017 Fall
ANTH 370,LAPORTE C,3.083,38%,46%,911,2017 Fall
ANTH 370,LAPORTE C,3.160,44%,40%,912,2017 Fall
ANTH 370,ATHREYA S,3.360,60%,24%,913,2017 Fall
ANTH 370,ATHREYA S,3.500,50%,50%,914,2017 Fall
ANTH 370,WINKING J,3.500,64%,21%,950,2017 Fall
ANTH 401,WATERS M,2.750,12%,56%,900,2017 Fall
ANTH 404,WERNER C,3.222,50%,33%,500,2017 Fall
ANTH 405,BAILEY K,3.533,80%,7%,500,2017 Fall
ANTH 412,THAKAR H,3.105,26%,58%,900,2017 Fall
ANTH 418,VIEIRA DE CASTRO L,3.647,68%,29%,500,2017 Fall
ANTH 423,WRIGHT L,3.066,47%,33%,900,2017 Fall
ANTH 424,ALVARD M,2.555,39%,17%,500,2017 Fall
ANTH 425,WRIGHT L,2.631,16%,47%,500,2017 Fall
ANTH 435,HOPKINS A,3.080,44%,32%,500,2017 Fall
ANTH 437,HOPKINS A,3.466,60%,27%,500,2017 Fall
ANTH 484,THAKAR H,4.000,100%,0%,501,2017 Fall
ANTH 484,THAKAR H,4.000,100%,0%,502,2017 Fall
ANTH 489,DE RUITER D,3.200,50%,40%,501,2017 Fall
ANTH 601,ATHREYA S,3.454,45%,55%,600,2017 Fall
ANTH 605,HAMILTON D,2.818,0%,82%,600,2017 Fall
ANTH 611,PULAK C,3.500,62%,25%,600,2017 Fall
ANTH 613,CARLSON D,3.833,83%,17%,600,2017 Fall
ANTH 615,PULAK C,3.500,50%,50%,600,2017 Fall
ANTH 640,THAKAR H,3.833,83%,17%,600,2017 Fall
ANTH 642,CARLSON D,4.000,100%,0%,600,2017 Fall
ANTH 670,GURSKY S,4.000,100%,0%,600,2017 Fall
ANTH 672,LINDERHOLM A,3.857,86%,14%,603,2017 Fall
AFST 201,DONKOR D,3.538,62%,31%,501,2017 Fall
AFST 209,SALTER P,3.583,67%,25%,500,2017 Fall
AFST 252,CURRY T,2.857,14%,57%,500,2017 Fall
AFST 300,BROUSSARD A,3.000,20%,60%,500,2017 Fall
AFST 302,LAWO-SUKAM A,3.800,80%,20%,500,2017 Fall
AFST 303,CARTER-SOWELL A,3.000,17%,67%,500,2017 Fall
AFST 317,MOORE W,3.600,60%,40%,502,2017 Fall
AFST 339,TUHKANEN M,3.200,40%,40%,500,2017 Fall
FILM 215,CECCHINI F,3.000,9%,82%,500,2017 Fall
FILM 251,ELLIS L,3.417,61%,25%,501,2017 Fall
FILM 251,NEIGHBORS R,3.111,37%,41%,M01,2017 Fall
FILM 343,HUMPHREY D,2.769,38%,31%,500,2017 Fall
FILM 356,ALONZO J,3.400,40%,60%,501,2017 Fall
FILM 376,CONWAY D,3.500,62%,25%,500,2017 Fall
FILM 394,LENIHAN J,3.375,50%,38%,500,2017 Fall
FILM 435,SHANDLEY R,2.818,18%,64%,500,2017 Fall
FILM 445,PLOTHE T,1.800,20%,20%,900,2017 Fall
FILM 489,ELLIS L,4.000,100%,0%,501,2017 Fall
HHUM 107,HOWELL J,3.600,60%,40%,901,2017 Fall
JOUR 102,RUBIN H,3.273,39%,52%,501,2017 Fall
JOUR 102,RUBIN H,3.454,45%,55%,502,2017 Fall
JOUR 203,GAMMON A,3.375,44%,50%,901,2017 Fall
JOUR 203,RUBIN H,3.200,40%,40%,902,2017 Fall
JOUR 250,RICE D,3.363,64%,27%,500,2017 Fall
JOUR 365,MILLER L,3.666,67%,33%,500,2017 Fall
JOUR 450,RICE D,3.214,50%,21%,500,2017 Fall
JOUR 485,RICE D,3.857,86%,14%,500,2017 Fall
LBAR 181,OBERHELMAN S,3.478,61%,30%,501,2017 Fall
LBAR 181,OBERHELMAN S,3.571,71%,24%,502,2017 Fall
LBAR 181,OBERHELMAN S,3.304,48%,39%,503,2017 Fall
LBAR 181,OBERHELMAN S,3.608,61%,39%,504,2017 Fall
LBAR 181,RAMASUBRAMANIAN S,3.200,80%,0%,507,2017 Fall
LBAR 181,DORSEY L,4.000,100%,0%,508,2017 Fall
LBAR 489,DABNEY A,4.000,100%,0%,501,2017 Fall
RELS 251,LAKE J,2.823,29%,41%,500,2017 Fall
RELS 257,HAVENS J,3.166,33%,58%,501,2017 Fall
RELS 312,HAVENS J,2.700,10%,50%,901,2017 Fall
RELS 321,KARASIPAHI S,3.500,50%,50%,500,2017 Fall
