KINE 199,BREKKEN K,3.727,82%,9%,17,2018 Fall
KINE 199,BREKKEN K,3.5,75%,17%,17,2019 Fall
KINE 223,WOLFE J,3.333,33%,67%,17,2019 Fall
KINE 223,GOMEZ D,3.6,80%,10%,17,2020 Fall
KINE 223,NETHERLAND B,3.896,90%,10%,17,2017 Spring
KINE 223,NETHERLAND B,3.75,82%,11%,17,2018 Spring
KINE 223,NETHERLAND B,3.785,86%,7%,17,2020 Spring
ENGR 111,SUBRAMANIAN R,2.491,19%,41%,18,2017 Fall
KINE 223,WOLFE J,3.7,70%,30%,18,2020 Spring
ENGR 111,KOOLA P,2.876,25%,51%,19,2017 Fall
KINE 223,SIMMONS K,3.541,71%,17%,19,2020 Fall
KINE 223,GOMEZ D,3.75,75%,25%,19,2017 Spring
KINE 223,GOMEZ D,3.8,87%,7%,19,2018 Spring
KINE 223,GOMEZ D,3.47,47%,53%,19,2020 Spring
ENGR 102,AMINI N,2.937,38%,35%,20,2018 Fall
ENGR 111,AMINI N,2.625,16%,45%,20,2017 Fall
KINE 120,INMAN A,4,100%,0%,20,2017 Spring
KINE 120,WHITFIELD W,3.909,91%,9%,20,2019 Summer
KINE 223,WOLFE J,3.233,37%,50%,20,2018 Fall
KINE 223,WOLFE J,3.2,33%,57%,20,2019 Fall
KINE 223,CAMPBELL A,3.333,50%,33%,20,2020 Fall
KINE 223,WOLFE J,3.615,65%,31%,20,2020 Spring
ENGR 102,KOOLA P,2.884,26%,45%,21,2018 Fall
ENGR 111,AMINI N,2.73,19%,51%,21,2017 Fall
ENGR 102,SHAW S,2.677,17%,47%,22,2018 Fall
ENGR 111,SHAW S,2.803,24%,45%,22,2017 Fall
KINE 199,COADY W,4,100%,0%,22,2017 Fall
KINE 199,HANIK M,3.888,89%,11%,22,2020 Fall
KINE 223,NETHERLAND B,3.681,77%,14%,22,2017 Fall
KINE 223,NETHERLAND B,3.884,92%,4%,22,2018 Fall
KINE 223,NETHERLAND B,3.92,92%,8%,22,2019 Fall
KINE 223,NETHERLAND B,3.458,62%,25%,22,2020 Fall
KINE 223,CHAPMAN D,3.576,77%,15%,22,2017 Spring
KINE 223,CHAPMAN D,3.703,81%,7%,22,2018 Spring
KINE 223,ALVAREZ A,3.75,81%,12%,22,2020 Spring
ENGR 111,SHAW S,2.537,13%,52%,23,2017 Fall
KINE 120,DIXON S,3.37,63%,19%,23,2018 Fall
KINE 223,WILLINGHAM K,3.611,61%,39%,23,2018 Fall
KINE 223,WILLINGHAM K,3.75,83%,8%,23,2019 Fall
KINE 223,WAITE L,3.611,67%,28%,23,2020 Fall
KINE 223,ALVAREZ A,3.645,74%,19%,23,2017 Spring
KINE 120,MCGOWAN A,3.193,55%,23%,24,2017 Fall
KINE 199,GOMEZ D,2.666,100%,0%,24,2020 Fall
KINE 223,WAITE L,3.782,83%,13%,24,2018 Fall
KINE 223,WAITE L,3.304,43%,48%,24,2019 Fall
KINE 223,WILLINGHAM K,3.9,90%,10%,24,2020 Fall
KINE 223,CHAPMAN D,3.838,84%,16%,24,2017 Spring
KINE 223,CHAPMAN D,3.827,86%,10%,24,2018 Spring
KINE 223,ISENHART M,3.176,71%,0%,24,2020 Spring
KINE 199,POOLEY-DETWILER A,3.752,94%,4%,25,2020 Fall
KINE 223,DANNENBAUM J,3.517,59%,34%,25,2018 Fall
KINE 223,DANNENBAUM J,3.44,52%,44%,25,2019 Fall
KINE 223,WRIGHT M,3.434,65%,13%,25,2020 Fall
ENGR 102,SUBRAMANIAN R,2.49,17%,45%,26,2018 Fall
KINE 120,MCGOWAN A,3.166,43%,33%,26,2017 Fall
KINE 199,SPORTSMAN-DARNELL G,3.923,92%,8%,26,2017 Fall
KINE 199,BIN MOHD,4,100%,0%,26,2018 Fall
KINE 199,SPORTSMAN-DARNELL G,3.545,73%,18%,26,2019 Fall
KINE 223,SIMMONS K,3.695,70%,30%,26,2019 Fall
KINE 120,SAFDARI S,3.566,73%,17%,27,2017 Fall
KINE 120,BIRD M,3.925,93%,7%,27,2018 Fall
KINE 120,SLAGEL K,3.809,90%,0%,27,2019 Fall
KINE 199,SPORTSMAN-DARNELL G,3.642,92%,8%,27,2017 Fall
KINE 199,SPORTSMAN-DARNELL G,3.428,100%,0%,27,2020 Fall
KINE 223,WRIGHT M,3.181,64%,14%,27,2020 Fall
KINE 223,WRIGHT M,3.708,75%,21%,27,2017 Spring
KINE 223,WRIGHT M,3.625,71%,21%,27,2018 Spring
KINE 223,WRIGHT M,3.19,57%,24%,27,2020 Spring
KINE 199,CHAPMAN D,3.8,80%,20%,28,2017 Fall
KINE 199,BIN MOHD,4,100%,0%,28,2018 Fall
KINE 199,WOODARD D,4,100%,0%,28,2019 Fall
KINE 199,CHAPMAN D,3.444,88%,12%,28,2017 Spring
KINE 199,WOODARD D,4,100%,0%,28,2020 Spring
KINE 223,GOMEZ D,3.153,46%,38%,28,2017 Fall
KINE 223,GOMEZ D,3.791,79%,21%,28,2018 Fall
KINE 223,GOMEZ D,3.277,72%,11%,28,2019 Fall
KINE 223,ISENHART M,3.521,70%,17%,28,2020 Spring
KINE 199,SPORTSMAN-DARNELL G,3.428,100%,0%,29,2017 Spring
KINE 199,SPORTSMAN-DARNELL G,3.833,83%,17%,29,2018 Spring
KINE 223,GRANADOS J,3.827,90%,3%,29,2019 Fall
KINE 223,WENZEL T,3.551,66%,28%,29,2017 Spring
KINE 223,WENZEL T,3.741,77%,19%,29,2018 Spring
KINE 223,GRANADOS J,3.888,89%,11%,30,2019 Fall
KINE 223,HANIK M,3.84,92%,0%,30,2017 Spring
KINE 223,HANIK M,3.478,70%,17%,30,2018 Spring
KINE 223,HANIK M,3.363,73%,0%,30,2020 Spring
KINE 199,SPORTSMAN-DARNELL G,3.6,100%,0%,31,2017 Spring
KINE 199,SPORTSMAN-DARNELL G,3.846,85%,15%,31,2018 Spring
KINE 199,NOTTINGHAM K,3.2,40%,40%,31,2020 Spring
KINE 223,SZURA J,3.541,71%,12%,31,2020 Fall
KINE 223,CAMPBELL A,2.967,32%,42%,31,2017 Spring
KINE 223,CAMPBELL A,3.19,48%,38%,31,2018 Spring
KINE 223,CAMPBELL A,3.714,71%,29%,31,2020 Spring
KINE 199,ZABILSKI C,3.5,73%,27%,32,2018 Spring
KINE 199,WOODARD D,4,100%,0%,32,2020 Spring
KINE 120,CHAPMAN D,3.666,79%,12%,33,2017 Fall
KINE 120,WOODARD D,3.541,58%,38%,33,2018 Fall
KINE 120,WOODARD D,3.545,68%,27%,33,2019 Fall
KINE 120,WOODARD D,3.105,37%,42%,33,2020 Fall
KINE 199,ZABILSKI C,3.666,67%,33%,33,2017 Fall
KINE 199,CRUTHIRDS C,3.8,80%,20%,33,2018 Fall
KINE 199,COHEN L,3.615,62%,38%,33,2017 Spring
KINE 199,ZABILSKI C,3.545,90%,10%,33,2018 Spring
KINE 223,POOLEY-DETWILER A,3.724,83%,7%,33,2017 Fall
KINE 223,TYSON L,3.615,69%,27%,33,2018 Fall
KINE 223,WOLFE J,2.714,7%,64%,33,2017 Spring
KINE 120,CHAPMAN D,3.689,72%,24%,34,2017 Fall
KINE 120,WOODARD D,3.76,76%,24%,34,2018 Fall
KINE 120,WOODARD D,3.391,57%,26%,34,2019 Fall
KINE 120,WOODARD D,3.21,53%,26%,34,2020 Fall
KINE 199,ZABILSKI C,3.941,94%,6%,34,2017 Fall
KINE 199,SPORTSMAN-DARNELL G,3.285,83%,17%,34,2020 Fall
KINE 223,KUPPERSMITH N,3.392,64%,21%,34,2019 Fall
KINE 223,BYRNE K,3.565,70%,17%,34,2020 Fall
KINE 223,WOODARD D,3.461,77%,8%,34,2020 Spring
KINE 223,CHAPMAN D,3.928,93%,7%,35,2017 Fall
KINE 223,WOODARD D,3.718,78%,16%,35,2018 Fall
KINE 223,BYRNE K,3.791,79%,21%,35,2020 Fall
KINE 223,WOLFE J,3.275,38%,55%,35,2017 Spring
KINE 223,WOLFE J,3,28%,52%,35,2018 Spring
KINE 223,DIXON S,3.379,55%,31%,35,2020 Spring
KINE 223,KUPPERSMITH N,3.695,78%,17%,36,2020 Fall
KINE 223,MCGOWAN A,3.275,62%,17%,36,2020 Spring
KINE 223,DIXON S,3.392,54%,39%,37,2018 Spring
KINE 223,WOLFE J,3.428,61%,29%,37,2020 Spring
KINE 223,WENZEL T,3.588,74%,15%,38,2017 Fall
KINE 223,CAMPBELL A,3.166,42%,42%,38,2017 Spring
KINE 223,DANNENBAUM J,3.277,44%,50%,38,2018 Spring
KINE 223,MCGOWAN A,3.666,80%,13%,39,2017 Spring
KINE 223,MCGOWAN A,3.592,81%,4%,39,2018 Spring
KINE 223,DIXON S,3.214,57%,21%,40,2017 Spring
KINE 223,SIMMONS K,3.466,67%,20%,40,2020 Spring
KINE 199,NELSON C,4,100%,0%,41,2017 Spring
KINE 223,WRIGHT M,3.791,83%,12%,41,2017 Fall
KINE 223,WRIGHT M,3.695,70%,30%,41,2018 Fall
KINE 223,WRIGHT M,3.625,67%,29%,41,2019 Fall
KINE 223,WRIGHT M,3.833,88%,8%,41,2020 Fall
KINE 199,NELSON C,4,100%,0%,42,2017 Spring
KINE 199,NELSON C,3.833,89%,6%,42,2018 Spring
KINE 223,WRIGHT M,3.75,81%,12%,42,2017 Spring
KINE 223,WRIGHT M,3.5,71%,21%,42,2018 Spring
KINE 199,NELSON C,4,100%,0%,43,2017 Spring
KINE 199,NELSON C,4,100%,0%,43,2018 Spring
KINE 199,SZURA J,4,100%,0%,43,2020 Spring
KINE 223,TYSON L,3.5,57%,36%,43,2018 Spring
KINE 199,THOMAS F,3.777,78%,22%,44,2017 Fall
KINE 199,THOMAS F,3.833,83%,17%,44,2019 Fall
KINE 199,NELSON C,4,100%,0%,44,2020 Spring
KINE 199,NELSON C,3.857,86%,14%,45,2017 Fall
KINE 199,THOMAS F,4,100%,0%,45,2018 Fall
KINE 199,SZURA J,3.928,93%,7%,45,2020 Fall
KINE 223,ISENHART M,3.571,62%,33%,45,2019 Fall
KINE 223,ISENHART M,3.695,87%,4%,45,2020 Fall
KINE 199,NELSON C,4,100%,0%,46,2017 Fall
KINE 199,NELSON C,3.333,100%,0%,46,2018 Fall
KINE 199,SZURA J,4,100%,0%,46,2019 Fall
KINE 199,NELSON C,4,100%,0%,46,2020 Fall
KINE 199,NELSON C,4,100%,0%,47,2017 Fall
KINE 199,LITTLE S,4,100%,0%,47,2018 Fall
KINE 199,NELSON C,4,100%,0%,47,2019 Fall
KINE 199,COADY W,4,100%,0%,47,2020 Spring
KINE 223,WOLFE J,3.625,62%,38%,47,2017 Spring
KINE 223,WOLFE J,3.083,42%,38%,47,2018 Spring
KINE 223,SCHRADER K,3.583,67%,25%,47,2020 Spring
KINE 199,NELSON C,4,100%,0%,48,2017 Fall
KINE 199,COADY W,3.727,73%,27%,48,2019 Summer
KINE 223,WOLFE J,3.541,58%,38%,48,2017 Spring
KINE 223,WOLFE J,3.333,52%,33%,48,2018 Spring
KINE 199,NELSON C,4,100%,0%,49,2018 Fall
KINE 199,SZURA J,2.75,83%,0%,49,2019 Fall
KINE 199,COADY W,3.75,75%,25%,49,2020 Spring
KINE 223,HANIK M,3.31,45%,45%,49,2017 Fall
KINE 223,HANIK M,3.758,76%,24%,49,2018 Fall
KINE 223,HANIK M,3.718,75%,22%,49,2019 Fall
KINE 223,HANIK M,3.521,70%,17%,49,2020 Fall
KINE 223,WOLFE J,4,100%,0%,49,2020 Spring
KINE 120,METZGER C,3.758,90%,3%,50,2017 Fall
KINE 199,COADY W,3.272,70%,20%,50,2017 Fall
KINE 199,COADY W,3.4,78%,22%,50,2018 Fall
KINE 199,COADY W,4,100%,0%,50,2019 Fall
KINE 199,COADY W,3.272,100%,0%,50,2017 Spring
KINE 199,STIEGEL K,3.181,89%,11%,50,2018 Spring
KINE 199,COADY W,3.857,86%,14%,50,2020 Spring
KINE 223,DIXON S,3.419,61%,26%,50,2017 Spring
KINE 223,ISENHART M,3.285,56%,30%,50,2018 Spring
KINE 223,SIMMONS K,3.37,59%,22%,50,2020 Spring
KINE 120,METZGER C,3.733,87%,7%,51,2017 Fall
KINE 199,STIEGEL K,3.888,89%,11%,51,2017 Fall
KINE 199,COADY W,4,100%,0%,51,2018 Fall
KINE 199,COADY W,2.714,67%,17%,51,2019 Fall
KINE 199,COADY W,3.428,100%,0%,51,2020 Fall
KINE 199,STIEGEL K,4,100%,0%,51,2017 Spring
KINE 199,STIEGEL K,4,100%,0%,51,2018 Spring
KINE 223,HOURAHAN J,3.818,82%,18%,51,2017 Spring
KINE 223,SPORTSMAN-DARNELL G,3.578,58%,42%,51,2018 Spring
KINE 199,COHEN L,3.909,91%,9%,52,2017 Fall
KINE 199,COADY W,3.23,82%,18%,52,2019 Fall
KINE 199,COADY W,3.888,89%,11%,52,2020 Fall
KINE 199,STIEGEL K,3.909,91%,9%,52,2017 Spring
KINE 199,STIEGEL K,3.307,91%,9%,52,2018 Spring
KINE 223,HOURAHAN J,3.862,86%,14%,52,2017 Spring
KINE 223,ALVAREZ A,3.357,50%,43%,52,2018 Spring
KINE 223,ALVAREZ A,3.166,50%,33%,52,2020 Spring
KINE 120,SAFDARI S,3.206,52%,31%,53,2018 Fall
KINE 199,COHEN L,4,100%,0%,53,2018 Fall
KINE 199,COHEN L,3.692,100%,0%,53,2019 Fall
KINE 199,COADY W,4,100%,0%,53,2020 Fall
KINE 199,COHEN L,4,100%,0%,53,2017 Spring
KINE 223,CAMPBELL A,3.076,35%,42%,53,2017 Fall
KINE 223,CAMPBELL A,3,32%,45%,53,2018 Fall
KINE 223,CAMPBELL A,3.068,24%,62%,53,2019 Fall
KINE 223,CAMPBELL A,3.565,61%,35%,53,2020 Fall
KINE 199,COADY W,3.142,67%,33%,54,2017 Fall
KINE 199,COADY W,4,100%,0%,54,2017 Spring
KINE 199,COADY W,3.8,80%,20%,54,2018 Spring
KINE 199,COHEN L,4,100%,0%,54,2020 Spring
KINE 223,ISENHART M,4,100%,0%,54,2017 Spring
KINE 120,SAFDARI S,3.655,72%,21%,55,2017 Fall
KINE 199,COADY W,3.5,89%,11%,55,2017 Fall
KINE 199,COADY W,3.833,83%,17%,55,2018 Fall
KINE 199,COHEN L,4,100%,0%,55,2020 Fall
KINE 199,COADY W,2.818,78%,11%,55,2017 Spring
KINE 199,COADY W,3.666,88%,12%,55,2018 Spring
KINE 223,CAMPBELL A,3.4,47%,47%,55,2017 Spring
KINE 223,CAMPBELL A,2.655,11%,68%,55,2018 Spring
KINE 223,DIXON S,3.35,60%,30%,55,2020 Spring
KINE 199,STIEGEL K,3.529,100%,0%,56,2017 Fall
KINE 199,COADY W,3.909,91%,9%,56,2018 Fall
KINE 199,COADY W,4,100%,0%,56,2020 Fall
KINE 199,COADY W,3.285,83%,17%,56,2017 Spring
KINE 199,COADY W,3.75,75%,25%,56,2018 Spring
KINE 199,COADY W,4,100%,0%,56,2020 Spring
KINE 223,SCHRADER K,3.352,50%,38%,56,2018 Spring
KINE 223,SCHRADER K,3.555,56%,44%,56,2020 Spring
KINE 199,STIEGEL K,3.857,93%,0%,57,2017 Fall
KINE 199,COADY W,3.428,100%,0%,57,2019 Fall
KINE 199,COADY W,3.6,80%,0%,57,2020 Fall
KINE 199,COADY W,3.25,90%,10%,57,2017 Spring
KINE 199,COADY W,3.714,100%,0%,57,2018 Spring
KINE 199,COADY W,3.666,67%,33%,58,2018 Fall
KINE 199,COADY W,3.916,92%,8%,58,2019 Fall
KINE 199,COHEN L,4,100%,0%,58,2020 Fall
KINE 199,COHEN L,3.9,90%,10%,58,2020 Spring
KINE 223,LOCKLEAR A,3.718,78%,16%,58,2020 Spring
KINE 199,COHEN L,4,100%,0%,59,2019 Fall
KINE 199,COADY W,4,100%,0%,59,2020 Spring
KINE 223,ISENHART M,3.518,67%,22%,59,2017 Spring
KINE 223,WILLINGHAM K,3.8,80%,20%,59,2018 Spring
KINE 223,ISENHART M,3.5,68%,14%,59,2020 Spring
KINE 199,COHEN L,3.9,90%,10%,60,2017 Fall
KINE 199,COHEN L,4,100%,0%,60,2018 Fall
KINE 199,COHEN L,4,100%,0%,60,2017 Spring
KINE 199,COHEN L,4,100%,0%,60,2018 Spring
KINE 199,COADY W,3.714,86%,0%,60,2020 Spring
KINE 223,CAMPBELL A,2.545,9%,59%,60,2017 Fall
KINE 223,CAMPBELL A,3.047,33%,52%,60,2018 Fall
KINE 223,CAMPBELL A,2.826,17%,57%,60,2019 Fall
KINE 223,LOCKLEAR A,3.7,77%,17%,60,2018 Spring
KINE 223,LOCKLEAR A,3.709,74%,23%,60,2020 Spring
KINE 199,THOMAS F,4,100%,0%,61,2018 Fall
KINE 199,THOMAS F,4,100%,0%,61,2019 Fall
KINE 199,THOMAS F,4,100%,0%,61,2020 Fall
KINE 199,THOMAS F,3.8,80%,20%,61,2017 Spring
