course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,DE RUITER D,2.648,14%,49%,200,2017 Summer
ANTH 205,LYNCH D,3.500,66%,24%,101,2017 Summer
ANTH 205,LAPORTE C,3.500,67%,17%,901,2017 Summer
ANTH 205,LAPORTE C,3.640,72%,20%,902,2017 Summer
ANTH 205,LAPORTE C,3.043,48%,26%,903,2017 Summer
ANTH 205,LAPORTE C,3.400,60%,24%,904,2017 Summer
ANTH 225,GURSKY S,3.027,25%,56%,199,2017 Summer
ANTH 324,DEL CIAMPO M,3.000,31%,50%,100,2017 Summer
FILM 251,ELLIS L,3.333,67%,20%,100,2017 Summer
COMM 203,GAN I,3.166,28%,67%,101,2017 Summer
COMM 203,BRANNON G,3.260,43%,39%,102,2017 Summer
COMM 203,GLOECKNER P,3.347,43%,48%,103,2017 Summer
COMM 203,BAJAN A,3.200,25%,70%,104,2017 Summer
COMM 203,AKERS E,3.000,26%,57%,105,2017 Summer
COMM 203,CAMPBELL G,3.210,32%,63%,106,2017 Summer
COMM 203,HODGDON K,3.458,62%,25%,107,2017 Summer
COMM 203,SISLER H,2.950,25%,50%,108,2017 Summer
COMM 203,FOGLE K,3.227,36%,50%,109,2017 Summer
COMM 203,ZHAO Y,3.363,36%,64%,110,2017 Summer
COMM 203,BRANNON G,3.058,29%,53%,201,2017 Summer
COMM 203,STREET J,3.190,33%,52%,202,2017 Summer
COMM 203,MILLER L,2.904,10%,71%,203,2017 Summer
COMM 203,ROWE S,3.000,24%,62%,204,2017 Summer
COMM 203,GLOECKNER P,3.000,29%,46%,205,2017 Summer
COMM 203,BAJAN A,3.045,23%,64%,206,2017 Summer
COMM 203,TACHKOVA E,3.333,39%,56%,207,2017 Summer
COMM 203,WHITTEN R,3.086,35%,48%,208,2017 Summer
COMM 203,FOGLE K,3.263,42%,42%,209,2017 Summer
COMM 203,PANTOJA G,2.826,22%,52%,210,2017 Summer
COMM 215,ROWE S,3.470,47%,53%,100,2017 Summer
COMM 243,MUNSON D,3.611,67%,28%,200,2017 Summer
COMM 289,GOIDEL R,3.789,79%,21%,150,2017 Summer
COMM 315,WESNER K,3.588,71%,21%,199,2017 Summer
COMM 315,WESNER K,3.645,72%,22%,299,2017 Summer
COMM 320,WHITTEN R,3.505,55%,42%,700,2017 Summer
COMM 325,RULE F,2.910,25%,54%,199,2017 Summer
COMM 325,RULE F,3.203,41%,44%,299,2017 Summer
COMM 327,MILLER L,3.060,20%,70%,700,2017 Summer
COMM 335,TARVIN D,3.146,38%,40%,199,2017 Summer
COMM 335,TARVIN D,3.169,35%,49%,299,2017 Summer
COMM 407,MILLER L,3.157,37%,42%,900,2017 Summer
COMM 440,GOIDEL R,3.578,58%,42%,950,2017 Summer
COMM 446,CONRAD C,3.333,33%,67%,900,2017 Summer
ECON 202,SHAFIEZADEH,3.158,49%,26%,100,2017 Summer
ECON 203,MA E,3.151,45%,33%,200,2017 Summer
ECON 323,YAN X,2.968,28%,47%,200,2017 Summer
ECON 440,KASSAS B,2.727,25%,35%,100,2017 Summer
ECON 459,HOFFMANN M,2.657,26%,32%,200,2017 Summer
ECON 465,VARGHESE A,3.214,43%,36%,900,2017 Summer
ENGL 210,NEIGHBORS R,3.800,92%,4%,184,2017 Summer
ENGL 210,BAE K,3.333,50%,42%,185,2017 Summer
ENGL 210,BUSTAMANTE C,3.700,70%,30%,186,2017 Summer
ENGL 210,SNIDER J,3.320,56%,28%,188,2017 Summer
ENGL 210,ESTRADA-CARPENTER A,3.652,78%,13%,189,2017 Summer
ENGL 210,THIELMAN F,3.750,80%,15%,190,2017 Summer
ENGL 210,TORABI K,3.565,83%,9%,191,2017 Summer
ENGL 210,MOHAMMED U,3.750,88%,8%,192,2017 Summer
ENGL 210,LEE S,3.708,71%,29%,193,2017 Summer
ENGL 210,LIEBE L,3.120,40%,44%,194,2017 Summer
ENGL 210,TRNINIC M,3.652,70%,26%,195,2017 Summer
ENGL 210,FRANCIS J,3.875,88%,12%,196,2017 Summer
ENGL 210,ROZIER J,3.720,76%,20%,197,2017 Summer
ENGL 210,DUPLESSIS N,2.500,9%,64%,198,2017 Summer
ENGL 210,BLACKWELL C,3.200,25%,70%,199,2017 Summer
ENGL 210,LEE S,3.458,75%,12%,282,2017 Summer
ENGL 210,SCHUTZ S,3.454,64%,27%,283,2017 Summer
ENGL 210,ALEXANDER G,3.666,71%,24%,284,2017 Summer
ENGL 210,KIM H,4.000,100%,0%,285,2017 Summer
ENGL 210,FILBECK M,3.125,46%,38%,286,2017 Summer
ENGL 210,ESTRADA-CARPENTER A,3.666,75%,17%,287,2017 Summer
ENGL 210,EMBREE D,3.227,32%,59%,288,2017 Summer
ENGL 210,BARTZ E,3.772,82%,14%,289,2017 Summer
ENGL 210,HENEKS G,3.523,67%,29%,290,2017 Summer
ENGL 210,ARNOLD L,3.380,48%,43%,291,2017 Summer
ENGL 210,HAGSTROM-SCHMIDT N,3.250,38%,50%,292,2017 Summer
ENGL 210,PFANNKOCH T,3.300,53%,42%,293,2017 Summer
ENGL 210,LIEBE L,3.600,64%,32%,294,2017 Summer
ENGL 210,SNIDER J,3.318,77%,5%,295,2017 Summer
ENGL 210,ADANU E,3.391,70%,17%,296,2017 Summer
ENGL 210,WILTON D,3.565,61%,35%,297,2017 Summer
ENGL 210,CARLY-MILES C,3.560,64%,28%,298,2017 Summer
ENGL 210,COOPER R,3.909,91%,9%,299,2017 Summer
ENGL 212,OZMENT K,2.933,27%,50%,100,2017 Summer
ENGL 228,ROZIER J,2.794,41%,18%,200,2017 Summer
ENGL 235,COOPER R,3.583,75%,8%,100,2017 Summer
ENGL 235,WHITE L,3.000,50%,33%,200,2017 Summer
ENGL 251,ELLIS L,3.285,57%,29%,100,2017 Summer
ENGL 330,TORABI K,3.800,83%,14%,200,2017 Summer
ENGL 334,VASILAKIS A,3.452,62%,26%,100,2017 Summer
ENGL 352,CLOUGH K,3.324,51%,32%,100,2017 Summer
ENGL 360,SANDLIN L,3.562,72%,16%,200,2017 Summer
ENGL 374,OZMENT K,2.533,30%,30%,200,2017 Summer
ENGL 376,LEPIANKA N,3.692,69%,31%,200,2017 Summer
SPAN 101,ARENIVAR A,3.846,85%,15%,102,2017 Summer
SPAN 101,AGUILAR Z,3.866,87%,13%,103,2017 Summer
SPAN 102,CASTANON MORESCHI M,3.884,88%,12%,201,2017 Summer
SPAN 102,GARCIA URENA G,3.520,68%,24%,202,2017 Summer
SPAN 201,BYABARTTA D,3.555,61%,33%,101,2017 Summer
SPAN 201,MESA MORALES M,3.727,73%,27%,103,2017 Summer
SPAN 202,RIBOTA A,3.875,92%,4%,101,2017 Summer
SPAN 202,ROBLES GARCIA D,2.960,48%,24%,201,2017 Summer
SPAN 221,ZAPATA G,4.000,100%,0%,150,2017 Summer
SPAN 222,ZAPATA G,4.000,100%,0%,150,2017 Summer
SPAN 413,ESPINA E,4.000,100%,0%,150,2017 Summer
SPAN 460,ESPINA E,4.000,100%,0%,150,2017 Summer
HIST 102,HUDSON D,2.800,20%,44%,100,2017 Summer
HIST 105,BROOKS C,3.000,20%,59%,100,2017 Summer
HIST 106,MCINNIS V,2.930,30%,40%,200,2017 Summer
HIST 226,MCINNIS V,2.620,21%,37%,200,2017 Summer
HIST 406,SCHLOSS R,3.097,27%,56%,100,2017 Summer
HIST 439,HUDSON D,3.033,27%,50%,100,2017 Summer
ARAB 201,AYARI S,3.714,71%,29%,150,2017 Summer
ARAB 202,AYARI S,3.571,57%,43%,250,2017 Summer
ARAB 321,AYARI S,3.791,79%,21%,150,2017 Summer
ARAB 323,AYARI S,3.880,88%,12%,250,2017 Summer
ARAB 485,AYARI S,3.906,91%,9%,150,2017 Summer
ARAB 485,AYARI S,4.000,100%,0%,250,2017 Summer
CHIN 301,SHI W,3.647,65%,35%,350,2017 Summer
CHIN 302,SHI W,3.941,94%,6%,350,2017 Summer
